"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.0542	0.0452	1.0858	0.3443	1	3	1	"root"	-10965.8886	0
0.05	0.05	1	0.5	0.0502	0.0502	0.9187	0.4272	2	6	2	"root"	-22155.2403	0
0.05	0.05	1	0.5	0.0502	0.0502	0.9184	0.4269	1	5	3	"root"	-33223.9507	0
0.05	0.05	1	0.5	0.0502	0.0502	0.9177	0.427	1	4	2	"root"	-22155.4767	0
0.05	0.05	1	0.5	0.0502	0.0503	0.9158	0.4277	1	3	1	"root"	-11086.9068	0
0.05	0.05	1	0.5	0.0528	0.0473	1.0515	0.4738	2	6	2	"root"	-21976.7091	0
0.05	0.05	1	0.5	0.0528	0.0473	1.049	0.4709	1	5	3	"root"	-32958.1303	0
0.05	0.05	1	0.5	0.0528	0.0473	1.0485	0.4709	1	4	2	"root"	-21980.6889	0
0.05	0.05	1	0.5	0.0528	0.0474	1.0478	0.4732	1	3	1	"root"	-10999.7717	0
0.05	0.05	1	0.5	0.0504	0.043	0.9625	0.287	2	6	2	"root"	-20992.6989	0
0.05	0.05	1	0.5	0.0504	0.043	0.9607	0.2829	1	5	3	"root"	-31482.9773	0
0.05	0.05	1	0.5	0.0504	0.0431	0.962	0.2876	1	4	2	"root"	-20992.5979	0
0.05	0.05	1	0.5	0.0502	0.0434	0.9656	0.3022	1	3	1	"root"	-10502.3155	0
0.05	0.05	1	0.5	0.0483	0.0494	0.9018	0.4909	2	6	2	"root"	-21644.5408	0
0.05	0.05	1	0.5	0.0482	0.0495	0.8989	0.4934	1	5	3	"root"	-32461.9901	0
0.05	0.05	1	0.5	0.0483	0.0494	0.8997	0.4899	1	4	2	"root"	-21648.5244	0
0.05	0.05	1	0.5	0.0484	0.0493	0.8993	0.4836	1	3	1	"root"	-10832.568	0
0.05	0.05	1	0.5	0.0537	0.0489	0.9792	0.3664	2	6	2	"root"	-22467.7673	0
0.05	0.05	1	0.5	0.0537	0.0489	0.9794	0.3674	1	5	3	"root"	-33692.2242	0
0.05	0.05	1	0.5	0.0538	0.0489	0.9786	0.366	1	4	2	"root"	-22467.9281	0
0.05	0.05	1	0.5	0.0539	0.0489	0.9753	0.3619	1	3	1	"root"	-11243.8305	0
0.05	0.05	1	0.5	0.0503	0.0473	0.9166	0.4597	2	6	2	"root"	-21687.3198	0
0.05	0.05	1	0.5	0.0504	0.0472	0.9179	0.4571	1	5	3	"root"	-32519.8527	0
0.05	0.05	1	0.5	0.0503	0.0473	0.9157	0.4594	1	4	2	"root"	-21687.6272	0
0.05	0.05	1	0.5	0.0503	0.0474	0.9103	0.4631	1	3	1	"root"	-10854.9218	0
0.05	0.05	1	0.5	0.0479	0.0522	0.9495	0.5212	2	6	2	"root"	-21910.3315	0
0.05	0.05	1	0.5	0.0479	0.0522	0.949	0.5226	1	5	3	"root"	-32856.6757	0
0.05	0.05	1	0.5	0.048	0.0522	0.9488	0.5212	1	4	2	"root"	-21910.6397	0
0.05	0.05	1	0.5	0.048	0.0521	0.9488	0.5179	1	3	1	"root"	-10964.4961	0
0.05	0.05	1	0.5	0.0498	0.0517	0.9909	0.4819	2	6	2	"root"	-22242.2787	0
0.05	0.05	1	0.5	0.0498	0.0517	0.992	0.4823	1	5	3	"root"	-33350.2727	0
0.05	0.05	1	0.5	0.0498	0.0517	0.99	0.483	1	4	2	"root"	-22242.2473	0
0.05	0.05	1	0.5	0.0498	0.0518	0.984	0.4857	1	3	1	"root"	-11134.1669	0
